id,policy_id,user_id,created_at,updated_at,task_id
288,1,1040,2017-05-04 15:27:16.764816,2017-05-04 15:27:16.764816,13889
289,1,35,2017-05-05 06:33:57.604037,2017-05-05 06:33:57.604037,13689
290,1,805,2017-05-05 07:51:13.729048,2017-05-05 07:51:13.729048,13887
291,1,19149,2017-05-08 16:20:56.63771,2017-05-08 16:20:56.63771,13904
292,1,520,2017-05-09 14:21:35.853345,2017-05-09 14:21:35.853345,13641
293,1,264,2017-05-10 14:41:44.163218,2017-05-10 14:41:44.163218,13505
304,1,432,2017-05-10 20:56:29.685442,2017-05-10 20:56:29.685442,13638
305,1,270,2017-05-10 20:57:05.125885,2017-05-10 20:57:05.125885,13782
306,1,400,2017-05-10 20:57:17.024069,2017-05-10 20:57:17.024069,13518
307,1,98,2017-05-10 20:57:30.407695,2017-05-10 20:57:30.407695,13708
308,1,103,2017-05-10 21:03:54.883318,2017-05-10 21:03:54.883318,13775
309,1,9031,2017-05-10 21:35:47.742594,2017-05-10 21:35:47.742594,13858
310,1,4290,2017-05-10 21:35:52.723803,2017-05-10 21:35:52.723803,13846
311,1,17706,2017-05-10 21:36:17.501548,2017-05-10 21:36:17.501548,13902
312,1,4622,2017-05-10 21:48:15.513973,2017-05-10 21:48:15.513973,13848
313,1,4941,2017-05-10 21:50:41.259697,2017-05-10 21:50:41.259697,13849
314,1,7353,2017-05-10 22:17:27.625713,2017-05-10 22:17:27.625713,13854
315,1,233,2017-05-11 01:17:25.10839,2017-05-11 01:17:25.10839,13572
316,1,775,2017-05-11 05:29:05.447817,2017-05-11 05:29:05.447817,13885
317,1,11932,2017-05-11 06:55:06.856315,2017-05-11 06:55:06.856315,13897
318,1,9703,2017-05-11 06:59:49.877359,2017-05-11 06:59:49.877359,13860
319,1,649,2017-05-11 07:09:18.27365,2017-05-11 07:09:18.27365,13882
320,1,663,2017-05-11 07:13:42.89818,2017-05-11 07:13:42.89818,13843
321,1,126,2017-05-11 07:18:19.207741,2017-05-11 07:18:19.207741,13773
322,1,664,2017-05-11 12:12:14.128354,2017-05-11 12:12:14.128354,13883
323,1,5554,2017-05-11 12:27:49.484888,2017-05-11 12:27:49.484888,13851
324,1,4524,2017-05-11 14:31:27.95971,2017-05-11 14:31:27.95971,13847
325,1,211,2017-05-11 17:02:09.180318,2017-05-11 17:02:09.180318,13834
326,1,17477,2017-05-11 22:09:07.01081,2017-05-11 22:09:07.01081,13866
327,1,683,2017-05-12 13:15:34.965484,2017-05-12 13:15:34.965484,13512
328,1,102,2017-05-15 07:36:56.391137,2017-05-15 07:36:56.391137,13830
329,1,24155,2017-05-15 10:12:17.07379,2017-05-15 10:12:17.07379,13871
330,1,8495,2017-05-15 18:36:50.433589,2017-05-15 18:36:50.433589,13857
331,1,5069,2017-05-15 20:28:15.184919,2017-05-15 20:28:15.184919,13850
332,1,453,2017-05-15 20:48:09.098094,2017-05-15 20:48:09.098094,13839
333,1,17580,2017-05-16 01:35:36.94451,2017-05-16 01:35:36.94451,13900
334,1,116,2017-05-16 08:55:21.264328,2017-05-16 08:55:21.264328,13832
335,1,675,2017-05-16 14:07:02.7183,2017-05-16 14:07:02.7183,13568
336,1,589,2017-05-16 14:32:23.477393,2017-05-16 14:32:23.477393,13682
337,1,250,2017-05-16 14:41:44.777589,2017-05-16 14:41:44.777589,13836
338,1,16806,2017-05-17 14:59:54.124107,2017-05-17 14:59:54.124107,13865
339,1,12710,2017-05-18 07:30:48.003799,2017-05-18 07:30:48.003799,13898
340,1,527,2017-05-18 08:13:36.32512,2017-05-18 08:13:36.32512,13841
341,1,371,2017-05-18 11:30:58.504299,2017-05-18 11:30:58.504299,13838
342,1,6916,2017-05-18 12:33:56.210012,2017-05-18 12:33:56.210012,13853
343,1,668,2017-05-18 22:16:10.18537,2017-05-18 22:16:10.18537,13844
